group,sp,id,Mtag,tran,dist,trt,side,tag,loc,status,date_processed,initials,ic,iw,vs,is,ih,bh,vw,notes_trait
A,cal,3,139,T2,0.5,C,L,1461,loc4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,3,139,T2,0.5,NR,R,1462,loc1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,3,139,T2,0.5,NR,R,1462,loc2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,3,139,T2,0.5,NR,R,1462,loc3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,3,139,T2,0.5,NR,R,1462,loc4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,3,139,T2,1,NR,L,1463,loc1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,3,139,T2,1,NR,L,1463,loc2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,3,139,T2,1,NR,L,1463,loc3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,3,139,T2,1,NR,L,1463,loc4,1,20190702,MFO,1,1.81,0,18,13.5,NA,3.38,
A,cal,3,139,T2,1,C,R,1464,loc1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,3,139,T2,1,C,R,1464,loc2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,3,139,T2,1,C,R,1464,loc3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,3,139,T2,1,C,R,1464,loc4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,3,139,T2,2,NR,L,1465,loc1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,3,139,T2,2,NR,L,1465,loc2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,3,139,T2,2,NR,L,1465,loc3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,3,139,T2,2,NR,L,1465,loc4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,3,139,T2,2,C,R,1466,loc1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,3,139,T2,2,C,R,1466,loc2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,3,139,T2,2,C,R,1466,loc3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,3,139,T2,2,C,R,1466,loc4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
