group,sp,hub,mayID,matTag,trans,dist,trt,tag,side,loc,status,date_processed,initials,ic,iw,vs,is,ih,bh,vw,notes_trait
A,glab,10,2,289,T2,0.5,C,1020,L,loc4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,2,289,T2,0.5,NR,1021,R,loc1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,2,289,T2,0.5,NR,1021,R,loc2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,2,289,T2,0.5,NR,1021,R,loc3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,2,289,T2,0.5,NR,1021,R,loc4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,2,289,T2,1,C,1022,R,loc1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,2,289,T2,1,C,1022,R,loc2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,2,289,T2,1,C,1022,R,loc3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,2,289,T2,1,C,1022,R,loc4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,2,289,T2,1,NR,1023,L,loc1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,2,289,T2,1,NR,1023,L,loc2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,2,289,T2,1,NR,1023,L,loc3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,2,289,T2,1,NR,1023,L,loc4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,2,289,T2,2,C,1024,R,loc1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,2,289,T2,2,C,1024,R,loc2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,2,289,T2,2,C,1024,R,loc3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,2,289,T2,2,C,1024,R,loc4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,2,289,T2,2,NR,1025,L,loc1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,2,289,T2,2,NR,1025,L,loc2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,2,289,T2,2,NR,1025,L,loc3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,2,289,T2,2,NR,1025,L,loc4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,4,290,home,0,C,1026,L,loc1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,4,290,home,0,C,1026,L,loc2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,4,290,home,0,C,1026,L,loc3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,4,290,home,0,C,1026,L,loc4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,4,290,home,0,NR,1027,R,loc1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,4,290,home,0,NR,1027,R,loc2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,4,290,home,0,NR,1027,R,loc3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,4,290,home,0,NR,1027,R,loc4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,4,290,T2,0.5,NR,1028,L,loc1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,4,290,T2,0.5,NR,1028,L,loc2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,4,290,T2,0.5,NR,1028,L,loc3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,4,290,T2,0.5,NR,1028,L,loc4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,4,290,T2,0.5,C,1029,R,loc1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,4,290,T2,0.5,C,1029,R,loc2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,4,290,T2,0.5,C,1029,R,loc3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,4,290,T2,0.5,C,1029,R,loc4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,4,290,T2,1,NR,1030,R,loc1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,4,290,T2,1,NR,1030,R,loc2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,4,290,T2,1,NR,1030,R,loc3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,4,290,T2,1,NR,1030,R,loc4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,4,290,T2,1,C,1031,L,loc1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,4,290,T2,1,C,1031,L,loc2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,4,290,T2,1,C,1031,L,loc3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,4,290,T2,1,C,1031,L,loc4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,4,290,T2,2,NR,1032,R,loc1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,4,290,T2,2,NR,1032,R,loc2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,4,290,T2,2,NR,1032,R,loc3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,4,290,T2,2,NR,1032,R,loc4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,4,290,T2,2,C,1033,L,loc1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,4,290,T2,2,C,1033,L,loc2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,4,290,T2,2,C,1033,L,loc3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,4,290,T2,2,C,1033,L,loc4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
