group,sp,mID,mTag,trans,dist,trt,tag,side,L1,L2,L3,L4,Notes,
A,fre,6,288,home,0,NR,1155,R,0,0,0,0,,
A,fre,6,288,home,0,C,1156,L,0,0,0,0,,
A,fre,6,288,T1,0.5,C,1157,L,0,0,0,0,,
A,fre,6,288,T1,0.5,NR,1158,R,0,0,0,0,,
A,fre,6,288,T1,1,C,1159,L,0,M,M,M,,
A,fre,6,288,T1,1,NR,1160,R,0,0,0,0,,
A,fre,6,288,T1,2,NR,1161,R,0,0,0,0,,
A,fre,6,288,T1,2,C,1162,L,0,0,0,M,,
A,fre,6,288,T2,0.5,NR,1163,L,0,0,0,0,,
A,fre,6,288,T2,0.5,C,1164,R,0,0,M,0,,
A,fre,6,288,T2,1,C,1165,L,M,M,0,0,,
A,fre,6,288,T2,1,NR,1166,R,0,0,0,0,,
A,fre,6,288,T2,2,NR,1167,R,0,0,0,0,,
A,fre,6,288,T2,2,C,1168,L,0,0,0,M,,
B,cal,1,175,home,0,NR,1183,L,,,,,20220330,
B,cal,1,175,home,0,C,1184,R,,,,,,
B,cal,1,175,T1,0.5,C,1185,R,,,,,,
B,cal,1,175,T1,0.5,NR,1186,L,,,,,,
B,cal,1,175,T1,1,C,1187,L,,,,,,
B,cal,1,175,T1,1,NR,1188,R,,,,,,
B,cal,1,175,T1,2,C,1189,L,,,,,,
B,cal,1,175,T1,2,NR,1190,R,,,,,,
B,cal,1,175,T2,0.5,NR,1191,R,,,,,,
B,cal,1,175,T2,0.5,C,1192,L,,,,,,
B,cal,1,175,T2,1,NR,1193,R,,,,,,
B,cal,1,175,T2,1,C,1194,L,,,,,,
B,cal,1,175,T2,2,C,1195,L,,,,,,
B,cal,1,175,T2,2,NR,1196,R,,,,,,
group,sp,mID,mTag,trans,dist,trt,tag,side,L1,L2,L3,L4,Notes,
B,cal,2,172,home,0,C,1169,R,0,0,0,0,,
B,cal,2,172,home,0,NR,1170,L,0,0,0,0,,
B,cal,2,172,T1,0.5,C,1171,R,0,0,0,0,,
B,cal,2,172,T1,0.5,NR,1172,L,0,0,0,0,,
B,cal,2,172,T1,1,C,1173,R,0,0,0,0,,
B,cal,2,172,T1,1,NR,1174,L,G,G,G,G,,
B,cal,2,172,T1,2,NR,1175,R,0,G,0,0,,
B,cal,2,172,T1,2,C,1176,L,0,0,0,0,,
B,cal,2,172,T2,0.5,C,1177,R,0,0,0,0,,
B,cal,2,172,T2,0.5,NR,1178,L,0,0,0,0,,
B,cal,2,172,T2,1,NR,1179,R,0,0,0,0,,
B,cal,2,172,T2,1,C,1180,L,0,0,0,0,,
B,cal,2,172,T2,2,C,1181,R,0,0,0,0,,
B,cal,2,172,T2,2,NR,1182,L,0,0,0,0,,
B,cal,3,174,home,0,C,1211,L,0,M,0,0,,
B,cal,3,174,home,0,NR,1212,R,0,0,0,0,,
B,cal,3,174,T1,0.5,NR,1229,R,0,0,0,0,,
B,cal,3,174,T1,0.5,C,1230,L,V,0,0,0,,
B,cal,3,174,T1,1,C,1231,R,G,G,G,G,,
B,cal,3,174,T1,1,NR,1232,L,0,G,M,G,,
B,cal,3,174,T1,2,NR,1233,R,0,0,0,0,,
B,cal,3,174,T1,2,C,1234,L,0,G,0,0,,
B,cal,3,174,T2,0.5,NR,1235,R,0,0,B,0,,
B,cal,3,174,T2,0.5,C,1236,L,0,0,0,0,,
B,cal,3,174,T2,1,C,1237,R,0,0,0,0,,
B,cal,3,174,T2,1,NR,1238,L,0,0,0,0,,
B,cal,3,174,T2,2,NR,1239,L,f,0,0,0,,
B,cal,3,174,T2,2,C,1240,R,0,0,0,0,,
B,cal,5,265,home,0,C,1227,L,G,M,0,G,,
B,cal,5,265,home,0,NR,1228,R,f,0,0,0,,
B,cal,5,265,T2,0.5,NR,1241,R,0,0,0,0,,
B,cal,5,265,T2,0.5,C,1242,L,0,0,0,0,,
B,cal,5,265,T2,1,C,1243,R,0,0,0,0,,
B,cal,5,265,T2,1,NR,1244,L,0,F,0,0,,
B,cal,5,265,T2,2,NR,1245,R,0,0,0,0,,
B,cal,5,265,T2,2,C,1246,L,0,0,0,0,,
B,cal,6,264,home,0,C,1197,L,0,0,0,0,,
B,cal,6,264,home,0,NR,1198,R,0,0,0,0,,
B,cal,6,264,T1,0.5,C,1199,R,0,0,0,0,,
B,cal,6,264,T1,0.5,NR,1200,L,0,0,0,0,,
B,cal,6,264,T1,1,NR,1201,L,0,0,0,0,,
B,cal,6,264,T1,1,C,1202,R,0,0,0,0,,
B,cal,6,264,T1,2,C,1203,R,0,0,0,0,,
B,cal,6,264,T1,2,NR,1204,L,0,0,0,0,,
group,sp,mID,mTag,trans,dist,trt,tag,side,L1,L2,L3,L4,Notes,
B,cal,6,264,T2,0.5,NR,1205,R,0,0,0,0,,
B,cal,6,264,T2,0.5,C,1206,L,0,f,0,0,Look like NR,
B,cal,6,264,T2,1,C,1207,R,G,G,G,G,,
B,cal,6,264,T2,1,NR,1208,L,0,0,0,0,,
B,cal,6,264,T2,2,NR,1209,L,0,0,0,0,,
B,cal,6,264,T2,2,C,1210,R,0,0,0,0,,
B,fre,1,181,home,0,NR,1253,L,0,M,0,0,,
B,fre,1,181,home,0,C,1254,R,0,M,0,0,,
B,fre,1,181,T1,0.5,C,1255,L,0,0,0,G,,
B,fre,1,181,T1,0.5,NR,1256,R,M,M,0,0,,
B,fre,1,181,T1,2,C,1257,L,0,0,0,0,,
B,fre,1,181,T1,2,NR,1258,R,G,M,G,G,,
B,fre,1,181,T1,1,C,1259,R,0,0,0,0,,
B,fre,1,181,T1,1,NR,1260,L,0,0,0,0,,
B,fre,1,181,T2,0.5,NR,1261,R,0,0,0,0,,
B,fre,1,181,T2,0.5,C,1262,L,0,0,0,0,,
B,fre,1,181,T2,1,NR,1263,L,0,0,0,M,,
B,fre,1,181,T2,1,C,1264,R,0,0,0,0,,
B,fre,1,181,T2,2,NR,1265,L,0,0,0,0,,
B,fre,1,181,T2,2,C,1266,R,0,0,0,0,,
B,fre,2,179,home,0,C,1295,L,0,0,0,0,,
B,fre,2,179,home,0,NR,1296,R,0,0,0,0,,
B,fre,2,179,T2,0.5,C,1297,L,0,0,0,0,,
B,fre,2,179,T2,0.5,NR,1298,R,0,0,M,0,,
B,fre,2,179,T2,1,NR,1299,L,0,0,0,0,,
B,fre,2,179,T2,1,C,1300,R,0,0,0,0,,
B,fre,2,179,T2,2,NR,1301,L,0,0,0,0,,
B,fre,2,179,T2,2,C,1302,R,0,0,0,0,,
B,fre,2,179,T1,0.5,NR,1303,R,0,0,0,0,,
B,fre,2,179,T1,0.5,C,1304,L,0,0,0,0,,
B,fre,2,179,T1,1,NR,1305,L,0,0,0,0,,
B,fre,2,179,T1,1,C,1306,R,0,0,0,0,,
B,fre,2,179,T1,2,C,1307,L,0,0,0,0,,
B,fre,2,179,T1,2,NR,1308,R,0,0,0,0,,
B,fre,3,180,home,0,C,1267,R,M,0,M,M,,
B,fre,3,180,home,0,NR,1268,L,0,0,0,M,,
B,fre,3,180,T1,0.5,NR,1269,R,0,0,0,0,,
B,fre,3,180,T1,0.5,C,1270,L,0,0,0,0,,
B,fre,3,180,T1,1,NR,1271,L,0,0,0,0,,
B,fre,3,180,T1,1,C,1272,R,0,0,0,0,,
B,fre,3,180,T1,2,NR,1273,L,0,0,0,0,,
B,fre,3,180,T1,2,C,1274,R,M,0,0,0,,
B,fre,3,180,T2,0.5,NR,1275,R,0,0,0,0,,
B,fre,3,180,T2,0.5,C,1276,L,0,0,M,0,,
group,sp,mID,mTag,trans,dist,trt,tag,side,L1,L2,L3,L4,Notes,
B,fre,3,180,T2,1,NR,1277,R,0,0,0,0,,
B,fre,3,180,T2,1,C,1278,L,0,0,0,0,,
B,fre,3,180,T2,2,C,1279,L,0,0,0,0,,
B,fre,3,180,T2,2,NR,1280,R,0,0,0,0,,
B,fre,4,271,home,0,NR,1281,L,M,0,0,0,,
B,fre,4,271,home,0,C,1282,R,0,M,0,0,,
B,fre,4,271,T2,0.5,C,1289,R,0,0,0,0,,
B,fre,4,271,T2,0.5,NR,1290,L,0,M,M,M,,
B,fre,4,271,T2,1,NR,1291,L,0,0,0,0,,
B,fre,4,271,T2,1,C,1292,R,0,0,0,0,,
B,fre,4,271,T2,2,C,1293,L,0,0,0,0,,
B,fre,4,271,T2,2,NR,1294,R,0,0,0,0,,
B,fre,5,270,home,0,NR,1323,L,0,0,0,0,,
B,fre,5,270,home,0,C,1324,R,M,M,0,M,,
B,fre,5,270,T1,0.5,C,1325,L,0,0,0,0,,
B,fre,5,270,T1,0.5,NR,1326,R,0,0,0,0,,
B,fre,5,270,T1,1,C,1327,L,0,0,0,0,,
B,fre,5,270,T1,1,NR,1328,R,0,M,0,0,,
B,fre,5,270,T1,2,NR,1329,R,0,0,0,0,,
B,fre,5,270,T1,2,C,1330,L,0,0,0,0,,
B,fre,5,270,T2,0.5,NR,1331,R,0,0,0,0,,
B,fre,5,270,T2,0.5,C,1332,L,M,0,0,0,,
B,fre,5,270,T2,1,NR,1333,R,0,0,0,0,,
B,fre,5,270,T2,1,C,1334,L,0,0,0,0,,
B,fre,5,270,T2,2,C,1335,L,0,0,0,0,,
B,fre,5,270,T2,2,NR,1336,R,0,0,0,0,,
B,fre,6,269,home,0,NR,1309,L,0,B,0,0,,
B,fre,6,269,home,0,C,1310,R,0,0,0,0,,
B,fre,6,269,T2,0.5,C,1311,R,0,0,0,0,,
B,fre,6,269,T2,0.5,NR,1312,L,0,0,0,0,,
B,fre,6,269,T2,1,C,1313,L,0,0,0,0,,
B,fre,6,269,T2,1,NR,1314,R,0,0,0,0,,
B,fre,6,269,T2,2,C,1315,L,0,0,0,0,,
B,fre,6,269,T2,2,NR,1316,R,0,0,0,0,,
B,glab,2,176,home,0,C,1339,L,0,0,0,0,,
B,glab,2,176,home,0,NR,1340,R,0,0,0,0,,
B,glab,2,176,T1,0.5,C,1361,L,0,0,V,0,,
B,glab,2,176,T1,0.5,NR,1362,R,V,M,0,0,,
B,glab,2,176,T1,1,C,1363,L,0,0,0,0,,
B,glab,2,176,T1,1,NR,1364,R,0,0,0,0,,
B,glab,2,176,T1,2,C,1365,R,0,0,0,0,,
B,glab,2,176,T1,2,NR,1366,L,0,0,0,0,,
B,glab,4,266,home,0,NR,1341,L,M,M,0,M,,
B,glab,4,266,home,0,C,1342,R,V,V,0,0,,
group,sp,mID,mTag,trans,dist,trt,tag,side,L1,L2,L3,L4,Notes,
B,glab,4,266,T2,0.5,C,1379,L,0,M,0,0,,
B,glab,4,266,T2,0.5,NR,1380,R,0,0,0,0,,
B,glab,4,266,T2,1,NR,1381,L,0,0,0,0,,
B,glab,4,266,T2,1,C,1382,R,0,0,0,0,,
B,glab,4,266,T2,2,C,1383,L,0,0,0,0,,
B,glab,4,266,T2,2,NR,1384,R,0,0,0,0,,
C,cal,1,150,T2,0.5,NR,1521,L,0,0,0,0,20220330,
C,cal,1,150,T1,1,C,1522,L,0,0,0,M,,
C,cal,1,150,home,0,C,1524,R,0,0,M,0,,
C,cal,1,150,T2,2,C,1526,R,0,M,0,0,,
C,cal,1,150,T1,0.5,NR,1527,L,0,0,0,0,,
C,cal,1,150,T2,1,NR,1528,L,0,0,0,0,,
C,cal,1,150,T1,0.5,C,1529,R,0,0,0,M,,
C,cal,1,150,T1,1,NR,1530,R,0,0,0,0,,
C,cal,1,150,T2,2,NR,1531,L,0,0,0,0,,
C,cal,1,150,T2,1,C,1533,R,0,0,0,0,,
C,cal,1,150,T2,0.5,C,1534,R,0,0,0,0,,
C,cal,1,150,home,0,NR,1536,L,0,0,0,0,,
C,cal,1,150,T1,2,NR,1537,R,0,0,0,0,,
C,cal,1,150,T1,2,C,1538,L,0,0,0,M,,
C,cal,2,148,home,0,C,1512,R,M,M,0,0,,
C,cal,2,148,home,0,NR,1518,L,0,0,0,0,,
C,cal,2,148,T1,2,C,1549,R,0,0,F,0,,
